t,LE11,LE22,LE33,LE12,LE13,LE23,J,S11,S22,S33,S12,S13,S23,psiE,psiNE
9.6,0.00790271871303428,0.00790271871188434,0.392042087776024,0,0,0,1.50357788595518,2.12790756889958e-09,2.12786107831042e-09,0.0220869218222256,0,0,0,0.00227941717443258,0.00156296238992629
9.8,0.00710176227110129,0.00710176227051682,0.398776119957368,0,0,0,1.51131426206189,2.17920878130967e-09,2.17918556724012e-09,0.0224262391756403,0,0,0,0.00234900144404907,0.00161089613346858
10,0.00628716385747887,0.00628716385865583,0.405465108108164,0,0,0,1.5189805754722,2.22435432052637e-09,2.22440230124299e-09,0.0227624835914539,0,0,0,0.00241899324645167,0.00165886093729237
10.2,0.00545964465142666,0.00545964464956545,0.412109650826833,0,0,0,1.52657847470338,2.26278488394543e-09,2.26271223112418e-09,0.023095727374993,0,0,0,0.00248937926215204,0.00170683172463451
10.4,0.00461988449231768,0.00461988449103863,0.418710334858185,0,0,0,1.53410953288552,2.29637807467459e-09,2.29632907741001e-09,0.0234260395196519,0,0,0,0.00256014668913773,0.00175478420530125
10.6,0.00376852358755891,0.00376852358497696,0.425267735404344,0,0,0,1.54157524897648,2.32229621123514e-09,2.32219671096601e-09,0.0237534857756153,0,0,0,0.00263128321461874,0.00180269486429354
10.8,0.00290616440224109,0.00290616440614238,0.431782416425538,0,0,0,1.54897704987496,2.34369964581538e-09,2.34385088074274e-09,0.0240781287199653,0,0,0,0.00270277699027278,0.00185054094737602
11,0.00203337329865903,0.00203337329729379,0.438254930931155,0,0,0,1.55631629189789,2.35975437974656e-09,2.35970337887637e-09,0.0244000278431836,0,0,0,0.00277461660859447,0.0018983004501034
11.2,0.00115068228321732,0.00115068227774778,0.444685821261446,0,0,0,1.56359426298348,2.36891603555556e-09,2.3687097353009e-09,0.0247192396368297,0,0,0,0.00284679108212257,0.00194595210448748
11.4,0.000258590777034819,0.000258590777037705,0.451075619360217,0,0,0,1.57081218504535,2.37435399466635e-09,2.37435420109844e-09,0.025035817687381,0,0,0,0.00291928982453852,0.00199347536569595
